Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,088123,1996,01,84.4,Y
IDCJAC0001,088123,1996,02,83.2,Y
IDCJAC0001,088123,1996,03,59.0,Y
IDCJAC0001,088123,1996,04,42.0,Y
IDCJAC0001,088123,1996,05,44.2,Y
IDCJAC0001,088123,1996,06,189.6,Y
IDCJAC0001,088123,1996,07,105.2,Y
IDCJAC0001,088123,1996,08,115.2,Y
IDCJAC0001,088123,1996,09,119.2,Y
IDCJAC0001,088123,1996,10,54.8,Y
IDCJAC0001,088123,1996,11,38.2,Y
IDCJAC0001,088123,1996,12,30.0,Y
IDCJAC0001,088123,1997,01,29.4,Y
IDCJAC0001,088123,1997,02,0.0,Y
IDCJAC0001,088123,1997,03,11.2,Y
IDCJAC0001,088123,1997,04,13.6,Y
IDCJAC0001,088123,1997,05,98.8,Y
IDCJAC0001,088123,1997,06,40.4,Y
IDCJAC0001,088123,1997,07,24.8,Y
IDCJAC0001,088123,1997,08,85.4,Y
IDCJAC0001,088123,1997,09,91.4,Y
IDCJAC0001,088123,1997,10,26.8,Y
IDCJAC0001,088123,1997,11,85.4,Y
IDCJAC0001,088123,1997,12,4.4,Y
IDCJAC0001,088123,1998,01,33.0,Y
IDCJAC0001,088123,1998,02,29.0,Y
IDCJAC0001,088123,1998,03,2.6,Y
IDCJAC0001,088123,1998,04,86.8,Y
IDCJAC0001,088123,1998,05,31.4,Y
IDCJAC0001,088123,1998,06,49.4,Y
IDCJAC0001,088123,1998,07,107.8,Y
IDCJAC0001,088123,1998,08,43.8,Y
IDCJAC0001,088123,1998,09,78.2,Y
IDCJAC0001,088123,1998,10,61.6,Y
IDCJAC0001,088123,1998,11,91.6,N
IDCJAC0001,088123,1998,12,24.2,Y
IDCJAC0001,088123,1999,01,24.2,Y
IDCJAC0001,088123,1999,02,19.2,Y
IDCJAC0001,088123,1999,03,65.4,Y
IDCJAC0001,088123,1999,04,6.4,Y
IDCJAC0001,088123,1999,05,105.8,Y
IDCJAC0001,088123,1999,06,70.6,Y
IDCJAC0001,088123,1999,07,59.2,Y
IDCJAC0001,088123,1999,08,103.4,Y
IDCJAC0001,088123,1999,09,50.0,Y
IDCJAC0001,088123,1999,10,65.2,Y
IDCJAC0001,088123,1999,11,41.0,Y
IDCJAC0001,088123,1999,12,142.0,Y
IDCJAC0001,088123,2000,01,40.2,Y
IDCJAC0001,088123,2000,02,116.0,Y
IDCJAC0001,088123,2000,03,20.6,Y
IDCJAC0001,088123,2000,04,43.4,Y
IDCJAC0001,088123,2000,05,89.4,Y
IDCJAC0001,088123,2000,06,56.2,Y
IDCJAC0001,088123,2000,07,92.0,Y
IDCJAC0001,088123,2000,08,66.6,Y
IDCJAC0001,088123,2000,09,129.8,Y
IDCJAC0001,088123,2000,10,136.4,Y
IDCJAC0001,088123,2000,11,80.0,Y
IDCJAC0001,088123,2000,12,33.6,Y
IDCJAC0001,088123,2001,01,18.8,Y
IDCJAC0001,088123,2001,02,10.0,Y
IDCJAC0001,088123,2001,03,68.2,Y
IDCJAC0001,088123,2001,04,28.8,Y
IDCJAC0001,088123,2001,05,20.6,Y
IDCJAC0001,088123,2001,06,71.4,Y
IDCJAC0001,088123,2001,08,103.6,Y
IDCJAC0001,088123,2001,09,52.4,Y
IDCJAC0001,088123,2001,11,39.8,Y
IDCJAC0001,088123,2001,12,25.2,Y
IDCJAC0001,088123,2002,01,32.8,Y
IDCJAC0001,088123,2002,02,59.8,Y
IDCJAC0001,088123,2002,03,22.2,Y
IDCJAC0001,088123,2002,04,38.0,Y
IDCJAC0001,088123,2002,05,39.8,Y
IDCJAC0001,088123,2002,06,91.8,Y
IDCJAC0001,088123,2002,07,47.4,Y
IDCJAC0001,088123,2002,08,46.8,Y
IDCJAC0001,088123,2002,09,48.2,Y
IDCJAC0001,088123,2002,10,34.6,Y
IDCJAC0001,088123,2002,11,44.8,Y
IDCJAC0001,088123,2002,12,30.2,Y
IDCJAC0001,088123,2003,01,22.6,Y
IDCJAC0001,088123,2003,02,42.0,Y
IDCJAC0001,088123,2003,03,9.2,Y
IDCJAC0001,088123,2003,04,58.8,Y
IDCJAC0001,088123,2003,05,38.8,Y
IDCJAC0001,088123,2003,06,77.0,Y
IDCJAC0001,088123,2003,07,94.4,Y
IDCJAC0001,088123,2003,08,138.4,Y
IDCJAC0001,088123,2003,09,59.6,Y
IDCJAC0001,088123,2003,10,73.2,Y
IDCJAC0001,088123,2003,11,21.8,Y
IDCJAC0001,088123,2003,12,70.6,Y
IDCJAC0001,088123,2004,01,29.8,Y
IDCJAC0001,088123,2004,02,5.6,Y
IDCJAC0001,088123,2004,03,17.4,Y
IDCJAC0001,088123,2004,04,17.6,Y
IDCJAC0001,088123,2004,05,49.8,Y
IDCJAC0001,088123,2004,06,110.8,Y
IDCJAC0001,088123,2004,07,94.2,Y
IDCJAC0001,088123,2004,08,72.4,Y
IDCJAC0001,088123,2004,09,76.0,Y
IDCJAC0001,088123,2004,10,24.8,Y
IDCJAC0001,088123,2004,11,109.0,Y
IDCJAC0001,088123,2004,12,62.2,Y
IDCJAC0001,088123,2005,01,51.8,Y
IDCJAC0001,088123,2005,02,79.8,Y
IDCJAC0001,088123,2005,03,4.4,Y
IDCJAC0001,088123,2005,04,17.0,Y
IDCJAC0001,088123,2005,05,17.6,Y
IDCJAC0001,088123,2005,06,125.2,Y
IDCJAC0001,088123,2005,07,55.0,Y
IDCJAC0001,088123,2005,08,108.4,Y
IDCJAC0001,088123,2005,09,53.8,Y
IDCJAC0001,088123,2005,10,81.2,Y
IDCJAC0001,088123,2005,11,54.0,Y
